Heat,Name,Year,Average Points per Events
HEAT1,Ethan Ewing,2024,3988.3333333333335
HEAT1,Ethan Ewing,2023,4370.909090909091
HEAT1,Ethan Ewing,2022,4026.3636363636365
HEAT1,Ethan Ewing,2021,2210.0
HEAT1,Ethan Ewing,2017,977.2727272727273
HEAT1,Tim Elter,2023/2024,115.0
HEAT1,Tim Elter,2022/2023,93.0
HEAT1,Tim Elter,2021/2022,167.5
HEAT1,Tim Elter,2021,150.0
HEAT1,Tim Elter,2020,90.0
HEAT1,Tim Elter,2019,100.0
HEAT1,Jordy Smith,2024,3370.8333333333335
HEAT1,Jordy Smith,2023,2732.5
HEAT1,Jordy Smith,2022,3017.5
HEAT1,Jordy Smith,2021,4501.0
HEAT1,Jordy Smith,2019,4544.090909090909
HEAT1,Jordy Smith,2018,3312.7272727272725
HEAT1,Jordy Smith,2017,4327.272727272727
HEAT1,Jordy Smith,2016,4218.181818181818
HEAT1,Jordy Smith,2015,2533.3333333333335
HEAT1,Jordy Smith,2014,3900.0
HEAT1,Jordy Smith,2013,4794.444444444444
HEAT1,Jordy Smith,2012,2790.0
HEAT1,Jordy Smith,2011,4250.0
HEAT1,Jordy Smith,2010,5225.0
HEAT2,Joan Duru,2024,2010.0
HEAT2,Joan Duru,2023,2134.1666666666665
HEAT2,Joan Duru,2022,1817.5
HEAT2,Joan Duru,2021,1333.3333333333333
HEAT2,Jack Robinson,2024,4330.0
HEAT2,Jack Robinson,2023,3995.4545454545455
HEAT2,Jack Robinson,2022,4667.727272727273
HEAT2,Jack Robinson,2021,2757.1428571428573
HEAT2,Jack Robinson,2019,3320.0
HEAT2,Jack Robinson,2018,832.5
HEAT2,Jack Robinson,2016,500.0
HEAT2,Jack Robinson,2015,500.0
HEAT2,Matthew McGillivray,2024,2232.5
HEAT2,Matthew McGillivray,2023,2278.0
HEAT2,Matthew McGillivray,2022,3045.0
HEAT2,Matthew McGillivray,2021,1913.5714285714287
HEAT2,Matthew McGillivray,2018,420.0
HEAT3,Alonso Correa,2024/2025,711.6666666666666
HEAT3,Alonso Correa,2023/2024,525.0
HEAT3,Alonso Correa,2022/2023,620.0
HEAT3,Alonso Correa,2021/2022,461.6666666666667
HEAT3,Alonso Correa,2020,2043.25
HEAT3,Alonso Correa,2019,575.5555555555555
HEAT3,Alonso Correa,2018,399.25
HEAT3,Alonso Correa,2017,134.76190476190476
HEAT3,Alonso Correa,2016,256.6666666666667
HEAT3,Alonso Correa,2015,152.0
HEAT3,Alonso Correa,2014,69.0
HEAT3,Alonso Correa,2013,75.0
HEAT3,Filipe Toledo,2024,265.0
HEAT3,Filipe Toledo,2023,5300.0
HEAT3,Filipe Toledo,2022,4971.818181818182
