Heat,Name,Year,Max heat score
HEAT1,Ethan Ewing,2024,13.76
HEAT1,Ethan Ewing,2023,17.6
HEAT1,Ethan Ewing,2022,15.17
HEAT1,Ethan Ewing,2021,18.07
HEAT1,Ethan Ewing,2017,11.54
HEAT1,Tim Elter,2023/2024,9.23
HEAT1,Tim Elter,2022/2023,6.07
HEAT1,Tim Elter,2021/2022,7.13
HEAT1,Tim Elter,2021,9.6
HEAT1,Tim Elter,2020,7.3
HEAT1,Tim Elter,2019,6.94
HEAT1,Jordy Smith,2024,13.7
HEAT1,Jordy Smith,2023,11.93
HEAT1,Jordy Smith,2022,13.2
HEAT1,Jordy Smith,2021,14.17
HEAT1,Jordy Smith,2019,7.5
HEAT1,Jordy Smith,2018,15.83
HEAT1,Jordy Smith,2017,16.57
HEAT1,Jordy Smith,2016,18.1
HEAT1,Jordy Smith,2015,16.0
HEAT1,Jordy Smith,2014,4.3
HEAT1,Jordy Smith,2013,14.54
HEAT1,Jordy Smith,2012,8.87
HEAT1,Jordy Smith,2011,5.66
HEAT1,Jordy Smith,2010,16.27
HEAT2,Joan Duru,2024,11.4
HEAT2,Joan Duru,2023,10.9
HEAT2,Joan Duru,2022,13.7
HEAT2,Joan Duru,2021,13.2
HEAT2,Jack Robinson,2024,14.33
HEAT2,Jack Robinson,2023,11.87
HEAT2,Jack Robinson,2022,17.6
HEAT2,Jack Robinson,2021,16.0
HEAT2,Jack Robinson,2019,18.57
HEAT2,Jack Robinson,2018,13.94
HEAT2,Jack Robinson,2016,14.37
HEAT2,Jack Robinson,2015,12.5
HEAT2,Matthew McGillivray,2024,16.4
HEAT2,Matthew McGillivray,2023,10.17
HEAT2,Matthew McGillivray,2022,17.0
HEAT2,Matthew McGillivray,2021,9.33
HEAT2,Matthew McGillivray,2018,13.5
HEAT3,Alonso Correa,2024/2025,10.67
HEAT3,Alonso Correa,2023/2024,14.16
HEAT3,Alonso Correa,2022/2023,13.93
HEAT3,Alonso Correa,2021/2022,13.1
HEAT3,Alonso Correa,2020,18.33
HEAT3,Alonso Correa,2019,10.43
HEAT3,Alonso Correa,2018,15.25
HEAT3,Alonso Correa,2017,10.15
HEAT3,Alonso Correa,2016,11.75
HEAT3,Alonso Correa,2015,12.5
HEAT3,Alonso Correa,2014,6.2
HEAT3,Alonso Correa,2013,8.55
HEAT3,Filipe Toledo,2024,1.77
