Athlete,Country,Date,Event,Rank,Points
Gavin Bottger,United States,2024-06-23,OQS Budapest 2024,4,115940
Gavin Bottger,United States,2024-05-19,OQS Shanghai 2024,6,91382
Gavin Bottger,United States,2024-03-03,World Skateboarding Tour - Park Dubai,2,40000
Gavin Bottger,United States,2023-10-08,WST Park World Championship 2023 Rome Ostia,1,80000
Gavin Bottger,United States,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,5,24565
Gavin Bottger,United States,2023-02-12,Park World Championships Sharjah 2022,15,12140
Jagger Eaton,United States,2024-06-23,OQS Budapest 2024,16,25721
Jagger Eaton,United States,2024-05-19,OQS Shanghai 2024,3,142800
Jagger Eaton,United States,2023-10-08,WST Park World Championship 2023 Rome Ostia,4,43520
Jagger Eaton,United States,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,8,15086
Jagger Eaton,United States,2023-02-12,Park World Championships Sharjah 2022,1,80000
Augusto Akio,Brazil,2024-06-23,OQS Budapest 2024,5,102901
Augusto Akio,Brazil,2024-05-19,OQS Shanghai 2024,7,81200
Augusto Akio,Brazil,2024-03-03,World Skateboarding Tour - Park Dubai,14,5355
Augusto Akio,Brazil,2023-10-08,WST Park World Championship 2023 Rome Ostia,5,39168
Augusto Akio,Brazil,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,7,17748
Augusto Akio,Brazil,2023-02-12,Park World Championships Sharjah 2022,2,64000
Tate Carew,United States,2024-06-23,OQS Budapest 2024,3,142800
Tate Carew,United States,2024-05-19,OQS Shanghai 2024,1,210000
Tate Carew,United States,2024-03-03,World Skateboarding Tour - Park Dubai,6,20880
Tate Carew,United States,2023-10-08,WST Park World Championship 2023 Rome Ostia,3,54400
Tate Carew,United States,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,4,28900
Tate Carew,United States,2023-02-12,Park World Championships Sharjah 2022,6,35251
Luigi Cini,Brazil,2024-06-23,OQS Budapest 2024,12,40716
Luigi Cini,Brazil,2024-05-19,OQS Shanghai 2024,8,72192
Luigi Cini,Brazil,2023-10-08,WST Park World Championship 2023 Rome Ostia,2,64000
Luigi Cini,Brazil,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,1,50000
Luigi Cini,Brazil,2023-02-12,Park World Championships Sharjah 2022,30,2484
Pedro Barros,Brazil,2024-06-23,OQS Budapest 2024,24,10179
Pedro Barros,Brazil,2024-05-19,OQS Shanghai 2024,5,102901
Pedro Barros,Brazil,2024-03-03,World Skateboarding Tour - Park Dubai,15,4552
Pedro Barros,Brazil,2023-10-08,WST Park World Championship 2023 Rome Ostia,6,35251
Pedro Barros,Brazil,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,11,8720
Pedro Barros,Brazil,2023-02-12,Park World Championships Sharjah 2022,3,54400
Tom Schaar,United States,2024-06-23,OQS Budapest 2024,2,168000
Tom Schaar,United States,2024-05-19,OQS Shanghai 2024,9,57755
Tom Schaar,United States,2024-03-03,World Skateboarding Tour - Park Dubai,17,2708
Tom Schaar,United States,2023-10-08,WST Park World Championship 2023 Rome Ostia,14,13488
Tom Schaar,United States,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,2,40000
Tom Schaar,United States,2023-02-12,Park World Championships Sharjah 2022,5,39168
Kieran Woolley,Australia,2024-06-23,OQS Budapest 2024,6,91382
Kieran Woolley,Australia,2024-05-19,OQS Shanghai 2024,4,115940
Kieran Woolley,Australia,2024-03-03,World Skateboarding Tour - Park Dubai,4,28900
Kieran Woolley,Australia,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,15,4552
Kieran Woolley,Australia,2023-02-12,Park World Championships Sharjah 2022,4,43520
Danny Leon,Spain,2024-06-23,OQS Budapest 2024,9,57755
Danny Leon,Spain,2024-05-19,OQS Shanghai 2024,14,32331
Danny Leon,Spain,2024-03-03,World Skateboarding Tour - Park Dubai,1,50000
Danny Leon,Spain,2023-10-08,WST Park World Championship 2023 Rome Ostia,13,14987
Danny Leon,Spain,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,14,5355
Danny Leon,Spain,2023-02-12,Park World Championships Sharjah 2022,27,3238
Steven Pineiro,Puerto Rico,2024-06-23,OQS Budapest 2024,40,3236
Steven Pineiro,Puerto Rico,2024-05-19,OQS Shanghai 2024,20,15514
Steven Pineiro,Puerto Rico,2024-03-03,World Skateboarding Tour - Park Dubai,18,2437
