Athlete,Country,Date,Event,Rank,Points
Sora Shirai,Japan,2024-06-23,OQS Budapest 2024,3,176800
Sora Shirai,Japan,2024-05-19,OQS Shanghai 2024,13,42574
Sora Shirai,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,3,34000
Sora Shirai,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,1,80000
Sora Shirai,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,2,40000
Sora Shirai,Japan,2023-02-05,Street World Championships Sharjah 2022,8,28553
Sora Shirai,Japan,2022-07-03,World Street Skateboarding Rome 2022,18,2437
Nyjah Huston,United States,2024-06-23,OQS Budapest 2024,29,6756
Nyjah Huston,United States,2024-05-19,OQS Shanghai 2024,5,127466
Nyjah Huston,United States,2023-12-17,WST Street World Championship 2023 Tokyo,7,31726
Nyjah Huston,United States,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,1,50000
Nyjah Huston,United States,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,1,50000
Nyjah Huston,United States,2022-07-03,World Street Skateboarding Rome 2022,1,50000
Gustavo Ribeiro,Portugal,2024-06-23,OQS Budapest 2024,23,12748
Gustavo Ribeiro,Portugal,2024-05-19,OQS Shanghai 2024,6,112262
Gustavo Ribeiro,Portugal,2024-03-10,World Skateboarding Tour - Street Dubai,2,40000
Gustavo Ribeiro,Portugal,2023-12-17,WST Street World Championship 2023 Tokyo,17,9287
Gustavo Ribeiro,Portugal,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,9,12069
Gustavo Ribeiro,Portugal,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,4,28900
Gustavo Ribeiro,Portugal,2023-02-05,Street World Championships Sharjah 2022,2,64000
Gustavo Ribeiro,Portugal,2022-07-03,World Street Skateboarding Rome 2022,3,34000
Aurelien Giraud,France,2024-06-23,OQS Budapest 2024,9,69824
Aurelien Giraud,France,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,8,15086
Aurelien Giraud,France,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,8,15086
Aurelien Giraud,France,2023-02-05,Street World Championships Sharjah 2022,1,80000
Aurelien Giraud,France,2022-07-03,World Street Skateboarding Rome 2022,2,40000
Kairi Netsuke,Japan,2024-06-23,OQS Budapest 2024,7,98948
Kairi Netsuke,Japan,2024-05-19,OQS Shanghai 2024,8,87278
Kairi Netsuke,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,1,50000
Kairi Netsuke,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,2,64000
Kairi Netsuke,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,4,28900
Kairi Netsuke,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,20,1974
Kairi Netsuke,Japan,2023-02-05,Street World Championships Sharjah 2022,23,4935
Kairi Netsuke,Japan,2022-07-03,World Street Skateboarding Rome 2022,23,1439
Ginwoo Onodera,Japan,2024-06-23,OQS Budapest 2024,2,208000
Ginwoo Onodera,Japan,2024-05-19,OQS Shanghai 2024,2,208000
Ginwoo Onodera,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,4,28900
Ginwoo Onodera,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,6,35251
Ginwoo Onodera,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,12,7412
Ginwoo Onodera,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,12,7412
Ginwoo Onodera,Japan,2023-02-05,Street World Championships Sharjah 2022,3,54400
Yuto Horigome,Japan,2024-06-23,OQS Budapest 2024,1,260000
Yuto Horigome,Japan,2024-05-19,OQS Shanghai 2024,17,23990
Yuto Horigome,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,9,12069
Yuto Horigome,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,3,54400
Yuto Horigome,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,5,24565
Yuto Horigome,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,17,2708
Yuto Horigome,Japan,2023-02-05,Street World Championships Sharjah 2022,36,1500
Yuto Horigome,Japan,2022-07-03,World Street Skateboarding Rome 2022,8,15086
Richard Tury,Slovakia,2024-06-23,OQS Budapest 2024,4,144840
Richard Tury,Slovakia,2024-05-19,OQS Shanghai 2024,19,19432
Richard Tury,Slovakia,2024-03-10,World Skateboarding Tour - Street Dubai,5,24565
Richard Tury,Slovakia,2023-12-17,WST Street World Championship 2023 Tokyo,10,20558
Richard Tury,Slovakia,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,7,17748
Richard Tury,Slovakia,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,9,12069
Richard Tury,Slovakia,2023-02-05,Street World Championships Sharjah 2022,5,39168
Richard Tury,Slovakia,2022-07-03,World Street Skateboarding Rome 2022,29,763
Kelvin Hoefler,Brazil,2024-06-23,OQS Budapest 2024,8,87278
Kelvin Hoefler,Brazil,2024-05-19,OQS Shanghai 2024,31,6096
Kelvin Hoefler,Brazil,2024-03-10,World Skateboarding Tour - Street Dubai,75,120
Kelvin Hoefler,Brazil,2023-12-17,WST Street World Championship 2023 Tokyo,25,3998
Kelvin Hoefler,Brazil,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,17,2708
Kelvin Hoefler,Brazil,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,3,34000
Kelvin Hoefler,Brazil,2023-02-05,Street World Championships Sharjah 2022,4,43520
Kelvin Hoefler,Brazil,2022-07-03,World Street Skateboarding Rome 2022,14,5355
Toa Sasaki,Japan,2024-06-23,OQS Budapest 2024,14,37686
Toa Sasaki,Japan,2024-05-19,OQS Shanghai 2024,4,144840
Toa Sasaki,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,35,444
Toa Sasaki,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,11,18503
Toa Sasaki,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,2,40000
Toa Sasaki,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,13,6300
Toa Sasaki,Japan,2023-02-05,Street World Championships Sharjah 2022,16,10926
Toa Sasaki,Japan,2022-07-03,World Street Skateboarding Rome 2022,10,10258
Cordano Russell,Canada,2024-06-23,OQS Budapest 2024,10,61632
Cordano Russell,Canada,2024-05-19,OQS Shanghai 2024,23,12748
Cordano Russell,Canada,2024-03-10,World Skateboarding Tour - Street Dubai,12,7412
Cordano Russell,Canada,2023-12-17,WST Street World Championship 2023 Tokyo,4,43520
