last_name,first_name,total
SASAKI,Toa,78.64
IGLESIAS,Mauro,75.26
NETSUKE,Kairi,72.59
AGUILAR,Gabryel,71.59
MOTA,Filipe,70.77
O´NEILL,Shane,67.9
YUKITO,Aoki,62.52
ALVES,Joao,60.97
JEONG,Jihoon,60.48
WINBERG,Hampus,58.37
ILARDI,Jake,53.3
DELL,OLIO,52.3
SANTIAGO,Manny,51.88
PAPA,Micky,51.63
CARLSSON,Jonas,51.45
RIBEIRO,Gabriel,49.58
SOMMER,Justin,49.11
DECENZO,Ryan,49.04
GIRAUD,Aurelien,47.11
AQUILA,Agustin,46.76
TURY,Richard,46.09
RIBEIRO,Carlos,46.03
FYNN,Tommy,45.56
MILOU,Vincent,45.17
DE,CASTRO,44.06
JOSLIN,Chris,43.93
MATSUMOTO,Kairi,42.24
MIDLER,Alex,41.51
JORDAN,Dashawn,40.67
MATEOS,Juampi,40.1
MASS,Wacson,39.0
SASAKI,Toa,78.64
IGLESIAS,Mauro,75.26
NETSUKE,Kairi,72.59
AGUILAR,Gabryel,71.59
MOTA,Filipe,70.77
O´NEILL,Shane,67.9
YUKITO,Aoki,62.52
ALVES,Joao,60.97
JEONG,Jihoon,60.48
WINBERG,Hampus,58.37
ILARDI,Jake,53.3
DELL,OLIO,52.3
SANTIAGO,Manny,51.88
PAPA,Micky,51.63
CARLSSON,Jonas,51.45
RIBEIRO,Gabriel,49.58
SOMMER,Justin,49.11
DECENZO,Ryan,49.04
GIRAUD,Aurelien,47.11
AQUILA,Agustin,46.76
TURY,Richard,46.09
RIBEIRO,Carlos,46.03
FYNN,Tommy,45.56
MILOU,Vincent,45.17
DE,CASTRO,44.06
JOSLIN,Chris,43.93
MATSUMOTO,Kairi,42.24
MIDLER,Alex,41.51
JORDAN,Dashawn,40.67
MATEOS,Juampi,40.1
MASS,Wacson,39.0
SONDRUP,Vitus,38.69
PURCELL,John,38.55
GARCIA,Benjamin,37.61
GARBACCIO,Joseph,37.0
CORIA,Brayan,36.88
MEZA,Oscar,36.29
CARO,Angelo,36.24
BERGER,Matt,35.1
KAI,Hozumi,35.04
HOBAN,Braden,34.37
VIANNA,Giovani,34.21
NEVES,Eduardo,34.07
MARKLAND,Matthew,33.96
BELLIDO,Pool,33.88
KNUTZEN,Daniel,33.59
GUSTAVO,Felipe,32.52
DOBBS,Cato,31.67
ANDERSON,Andy,31.47
RAVAIL,Lawrence,31.0
SANDIFORD,Shay,30.87
KROON,Koffe,30.39
ATANASOV,Martin,30.24
BRUNVATNE,Petter,29.65
PEK,Martin,28.51
ORTIZ,GARCIA,28.15
PFEIFFER,Marvin,28.06
ALFARO,Mariano,27.98
PIERRE,Chris,27.75
COLLYER,Rome,27.37
TEJADA,Lenard,27.29
PADILLA,Carlos,27.13
VALJALO,Brandon,26.88
EXENBERGER,Santino,26.83
SZALAK,Filip,26.75
HÆGELAND,Simen,25.81
PIWOWAR,Mike,25.29
PORNCHAISUREE,Jirasin,25.06
MATIENZO,ARES,24.11
SENRA,Bruno,23.68
SASAKI,Raimu,23.25
WILMINK,Bert,22.35
BOGDANOVICS,Arturs,22.0
HINSON,Joe,21.88
SASAKI,Toa,78.64
IGLESIAS,Mauro,75.26
NETSUKE,Kairi,72.59
AGUILAR,Gabryel,71.59
MOTA,Filipe,70.77
O´NEILL,Shane,67.9
YUKITO,Aoki,62.52
ALVES,Joao,60.97
JEONG,Jihoon,60.48
WINBERG,Hampus,58.37
ILARDI,Jake,53.3
DELL,OLIO,52.3
SANTIAGO,Manny,51.88
PAPA,Micky,51.63
CARLSSON,Jonas,51.45
RIBEIRO,Gabriel,49.58
SOMMER,Justin,49.11
DECENZO,Ryan,49.04
GIRAUD,Aurelien,47.11
AQUILA,Agustin,46.76
TURY,Richard,46.09
RIBEIRO,Carlos,46.03
FYNN,Tommy,45.56
MILOU,Vincent,45.17
DE,CASTRO,44.06
JOSLIN,Chris,43.93
MATSUMOTO,Kairi,42.24
MIDLER,Alex,41.51
JORDAN,Dashawn,40.67
MATEOS,Juampi,40.1
MASS,Wacson,39.0
SONDRUP,Vitus,38.69
PURCELL,John,38.55
GARCIA,Benjamin,37.61
GARBACCIO,Joseph,37.0
CORIA,Brayan,36.88
MEZA,Oscar,36.29
CARO,Angelo,36.24
BERGER,Matt,35.1
KAI,Hozumi,35.04
HOBAN,Braden,34.37
VIANNA,Giovani,34.21
NEVES,Eduardo,34.07
MARKLAND,Matthew,33.96
BELLIDO,Pool,33.88
KNUTZEN,Daniel,33.59
GUSTAVO,Felipe,32.52
DOBBS,Cato,31.67
ANDERSON,Andy,31.47
RAVAIL,Lawrence,31.0
SANDIFORD,Shay,30.87
KROON,Koffe,30.39
ATANASOV,Martin,30.24
BRUNVATNE,Petter,29.65
PEK,Martin,28.51
ORTIZ,GARCIA,28.15
PFEIFFER,Marvin,28.06
ALFARO,Mariano,27.98
PIERRE,Chris,27.75
COLLYER,Rome,27.37
TEJADA,Lenard,27.29
PADILLA,Carlos,27.13
VALJALO,Brandon,26.88
EXENBERGER,Santino,26.83
SZALAK,Filip,26.75
HÆGELAND,Simen,25.81
PIWOWAR,Mike,25.29
PORNCHAISUREE,Jirasin,25.06
MATIENZO,ARES,24.11
SENRA,Bruno,23.68
SASAKI,Raimu,23.25
WILMINK,Bert,22.35
BOGDANOVICS,Arturs,22.0
HINSON,Joe,21.88
PHAM,Denny,21.46
HUNTLEY,James,20.44
ARENS,Jost,20.13
HIRT,Jan,19.96
ERKELAND,Remco,19.94
GARVEY,Jafin,19.68
CHRISTENSEN,Mads,19.53
MONTEIRO,Ivan,19.43
DECUNHA,Alex,19.27
MORAGUES,COLL,19.07
VANHOUTTE,Beer,19.02
DIKISCIOGLU,Berke,18.9
WIJIDJARUNG,Napat,18.36
SARACENO,Zach,17.37
TERRELL,Yakov,16.27
NAVRATIL,Jan,15.83
PUIGDOLLERS,Carlos,15.61
TANGERUD,Fredrik,15.4
IGNOTAS,Rokas,15.03
RISVAD,Alexander,14.92
WONGWATANASOChayakorn,THA,14.8
NGUYEN,Kristián,14.56
COLA,Giuseppe,14.52
WINTHER,Benjamin,13.95
SZCZUKA,Tymoteusz,13.87
ANDERBERG,Oscar,13.67
KARLSSON,Simon,13.25
PAEZ,Pavelinho,13.24
GRAMAGLIA,Andres,13.16
NIKOLOV,Mario,12.99
ROSENZVAIG,Sticky,12.97
SALDOU,Jean,12.64
TEIXEIRA,Diogo,12.62
KEÏTA,Karim,12.36
MANNING,Jamie,12.19
SCHAERER,Noel,12.07
JAKES,Vilem,11.81
CHRISTOFFERSE,Bissemayn,11.71
DE,JAEGER,11.7
YILMAZ,Ibrahim,11.04
OMAÑA,Héctor,10.84
LUU,David,10.74
SASAKI,Toa,78.64
IGLESIAS,Mauro,75.26
NETSUKE,Kairi,72.59
AGUILAR,Gabryel,71.59
MOTA,Filipe,70.77
O´NEILL,Shane,67.9
YUKITO,Aoki,62.52
ALVES,Joao,60.97
JEONG,Jihoon,60.48
WINBERG,Hampus,58.37
ILARDI,Jake,53.3
DELL,OLIO,52.3
SANTIAGO,Manny,51.88
PAPA,Micky,51.63
CARLSSON,Jonas,51.45
RIBEIRO,Gabriel,49.58
SOMMER,Justin,49.11
DECENZO,Ryan,49.04
GIRAUD,Aurelien,47.11
AQUILA,Agustin,46.76
TURY,Richard,46.09
RIBEIRO,Carlos,46.03
FYNN,Tommy,45.56
MILOU,Vincent,45.17
DE,CASTRO,44.06
JOSLIN,Chris,43.93
MATSUMOTO,Kairi,42.24
MIDLER,Alex,41.51
JORDAN,Dashawn,40.67
MATEOS,Juampi,40.1
MASS,Wacson,39.0
SONDRUP,Vitus,38.69
PURCELL,John,38.55
GARCIA,Benjamin,37.61
GARBACCIO,Joseph,37.0
CORIA,Brayan,36.88
MEZA,Oscar,36.29
CARO,Angelo,36.24
BERGER,Matt,35.1
KAI,Hozumi,35.04
HOBAN,Braden,34.37
VIANNA,Giovani,34.21
NEVES,Eduardo,34.07
MARKLAND,Matthew,33.96
BELLIDO,Pool,33.88
KNUTZEN,Daniel,33.59
GUSTAVO,Felipe,32.52
DOBBS,Cato,31.67
ANDERSON,Andy,31.47
RAVAIL,Lawrence,31.0
SANDIFORD,Shay,30.87
KROON,Koffe,30.39
ATANASOV,Martin,30.24
BRUNVATNE,Petter,29.65
PEK,Martin,28.51
ORTIZ,GARCIA,28.15
PFEIFFER,Marvin,28.06
ALFARO,Mariano,27.98
PIERRE,Chris,27.75
COLLYER,Rome,27.37
TEJADA,Lenard,27.29
PADILLA,Carlos,27.13
VALJALO,Brandon,26.88
EXENBERGER,Santino,26.83
SZALAK,Filip,26.75
HÆGELAND,Simen,25.81
PIWOWAR,Mike,25.29
PORNCHAISUREE,Jirasin,25.06
MATIENZO,ARES,24.11
SENRA,Bruno,23.68
SASAKI,Raimu,23.25
WILMINK,Bert,22.35
BOGDANOVICS,Arturs,22.0
HINSON,Joe,21.88
PHAM,Denny,21.46
HUNTLEY,James,20.44
ARENS,Jost,20.13
HIRT,Jan,19.96
ERKELAND,Remco,19.94
GARVEY,Jafin,19.68
CHRISTENSEN,Mads,19.53
MONTEIRO,Ivan,19.43
DECUNHA,Alex,19.27
MORAGUES,COLL,19.07
VANHOUTTE,Beer,19.02
DIKISCIOGLU,Berke,18.9
WIJIDJARUNG,Napat,18.36
SARACENO,Zach,17.37
TERRELL,Yakov,16.27
NAVRATIL,Jan,15.83
PUIGDOLLERS,Carlos,15.61
TANGERUD,Fredrik,15.4
IGNOTAS,Rokas,15.03
RISVAD,Alexander,14.92
WONGWATANASOChayakorn,THA,14.8
NGUYEN,Kristián,14.56
COLA,Giuseppe,14.52
WINTHER,Benjamin,13.95
SZCZUKA,Tymoteusz,13.87
ANDERBERG,Oscar,13.67
KARLSSON,Simon,13.25
PAEZ,Pavelinho,13.24
GRAMAGLIA,Andres,13.16
NIKOLOV,Mario,12.99
ROSENZVAIG,Sticky,12.97
SALDOU,Jean,12.64
TEIXEIRA,Diogo,12.62
KEÏTA,Karim,12.36
MANNING,Jamie,12.19
SCHAERER,Noel,12.07
JAKES,Vilem,11.81
CHRISTOFFERSE,Bissemayn,11.71
DE,JAEGER,11.7
YILMAZ,Ibrahim,11.04
OMAÑA,Héctor,10.84
LUU,David,10.74
VILORIA,Luis,10.5
SIANGOUENG,Thawatchai,10.19
MÖLLER,Mika,9.85
SAHINOGLU,Keroo,9.73
ANTANAVICIUS,Dommy,9.71
THORENDAL,Max,8.81
FLORES,Christian,8.78
NENASHEV,Alexander,8.47
BEVERLEY,Andre,8.3
MARQUEZ,Keyht,8.21
JUCYS,Dovydas,7.96
SOUZA,Wilton,7.57
DURAN,Yusuf,6.73
AYHAN,Alphonso,6.46
CORBRIDGE,Tommy,6.05
WONE,Aziz,4.6
WHITE,James,4.51
PORCEK,Okan,3.46
ACEVEDO,Adler,3.03
RURUA,Luka,4.0
SZEPVOLGYI,David,1.06
SAKHI,Alymzhan,2.0
CRAWFORD,Lazer,3.0
PALENICA,Andrzej,5.0
last_name,first_name,total
GIRAUD,Aurelien,85.43
PAPA,Micky,82.42
IGLESIAS,Mauro,81.21
HUSTON,Nyjah,81.06
RIBEIRO,Gustavo,80.93
JOSLIN,Chris,80.1
MILOU,Vincent,79.78
HOEFLER,Kelvin,79.0
O´NEILL,Shane,78.86
DECENZO,Ryan,78.48
HORIGOME,Yuto,78.28
DELL,OLIO,74.74
AGUILAR,Gabryel,74.0
ILARDI,Jake,72.34
YUKITO,Aoki,69.0
SASAKI,Toa,68.14
ALVES,Joao,68.09
SHIRAI,Sora,64.81
MOTA,Filipe,59.37
WINBERG,Hampus,59.1
MATSUMOTO,Kairi,56.85
JEONG,Jihoon,51.15
NETSUKE,Kairi,48.69
FYNN,Tommy,48.58
DE,CASTRO,47.55
SANTIAGO,Manny,45.97
GIRAUD,Aurelien,85.43
PAPA,Micky,82.42
IGLESIAS,Mauro,81.21
HUSTON,Nyjah,81.06
RIBEIRO,Gustavo,80.93
JOSLIN,Chris,80.1
MILOU,Vincent,79.78
HOEFLER,Kelvin,79.0
O´NEILL,Shane,78.86
DECENZO,Ryan,78.48
HORIGOME,Yuto,78.28
DELL,OLIO,74.74
AGUILAR,Gabryel,74.0
ILARDI,Jake,72.34
YUKITO,Aoki,69.0
SASAKI,Toa,68.14
ALVES,Joao,68.09
SHIRAI,Sora,64.81
MOTA,Filipe,59.37
WINBERG,Hampus,59.1
MATSUMOTO,Kairi,56.85
JEONG,Jihoon,51.15
NETSUKE,Kairi,48.69
FYNN,Tommy,48.58
DE,CASTRO,47.55
SANTIAGO,Manny,45.97
RIBEIRO,Gabriel,44.96
SOMMER,Justin,42.3
TURY,Richard,41.89
RIBEIRO,Carlos,40.91
CARLSSON,Jonas,40.76
AQUILA,Agustin,40.48
last_name,first_name,total
RIBEIRO,Gustavo,262.5
HUSTON,Nyjah,255.0
HORIGOME,Yuto,254.6
IGLESIAS,Mauro,249.61
DELL,OLIO,247.51
GIRAUD,Aurelien,241.36
MILOU,Vincent,239.31
DECENZO,Ryan,236.55
JOSLIN,Chris,234.24
SASAKI,Toa,233.62
AGUILAR,Gabryel,232.73
YUKITO,Aoki,217.85
O´NEILL,Shane,159.18
HOEFLER,Kelvin,157.45
PAPA,Micky,146.82
ILARDI,Jake,142.75
last_name,first_name,total
CAREW,Tate,93.33
PALMER,Keegan,92.3
EATON,Jagger,91.61
WOOLLEY,Kieran,90.19
BARROS,Pedro,88.96
BOTTGER,Gavin,86.58
AKIO,Augusto,73.04
CINI,Luigi,53.13
SCHAAR,Tom,79.3
SORGENTE,Alex,78.87
KORTABITARTE,Alain,77.36
WILSON,Keefer,76.92
QUINTAS,Pedro,75.28
LEON,Danny,35.13
NAGAHARA,Yuro,31.66
CARVALHO,Pedro,21.0
WINBERG,Hampus,76.2
SOLMUNDE,Viktor,75.76
EDTMAYER,Tyler,74.48
PINEIRO,Steven,72.78
PERES,Murilo,72.49
MAZZARA,Alessandro,71.99
GONZALEZ,Peio,71.28
BEHAR,Yam,70.56
DAMESTOY,Edouard,69.5
AUGUSTO,Thomas,67.03
CAREW,Tate,93.33
PALMER,Keegan,92.3
EATON,Jagger,91.61
WOOLLEY,Kieran,90.19
BARROS,Pedro,88.96
BOTTGER,Gavin,86.58
AKIO,Augusto,73.04
CINI,Luigi,53.13
SCHAAR,Tom,79.3
SORGENTE,Alex,78.87
KORTABITARTE,Alain,77.36
WILSON,Keefer,76.92
QUINTAS,Pedro,75.28
LEON,Danny,35.13
NAGAHARA,Yuro,31.66
CARVALHO,Pedro,21.0
WINBERG,Hampus,76.2
SOLMUNDE,Viktor,75.76
EDTMAYER,Tyler,74.48
PINEIRO,Steven,72.78
PERES,Murilo,72.49
MAZZARA,Alessandro,71.99
GONZALEZ,Peio,71.28
BEHAR,Yam,70.56
DAMESTOY,Edouard,69.5
AUGUSTO,Thomas,67.03
NILSEN,Elias,66.01
MARTIN,Tom,65.07
MATHERON,Vincent,64.49
MACDONALD,Andrew,64.04
CHEN,Ye,63.33
FRANCISCO,Kiko,62.8
BIJUESKA,Egoitz,62.22
WILCOMES,Ash,62.01
SINNERTON,Phoenix,61.21
COCILOVA,Omar,59.18
GLIFBERG,Rune,57.12
O'NEILL,George,49.66
MONTAGARD,Noe,43.83
PACE,Liam,39.36
CALVERT,Tommy,34.33
NYE,Taylor,30.0
OBERHOLZER,Dallas,28.0
COPELAND,Ethan,26.41
last_name,first_name,total
EATON,Jagger,278.28
ONODERA,Ginwoo,277.34
JOSLIN,Chris,275.34
SASAKI,Toa,271.46
HUSTON,Nyjah,239.07
RIBEIRO,Gustavo,182.0
VIANNA,Giovanni,177.39
NETSUKE,Kairi,174.77
HOBAN,Braden,261.24
DELL,OLIO,240.19
BERGER,Matt,230.65
GARBACCIO,Joseph,225.95
SHIRAI,Sora,178.9
AOKI,Yukito,159.46
GUSTAVO,Felipe,154.72
DECENZO,Ryan,148.59
HORIGOME,Yuto,81.88
ILARDI,Jake,81.78
TURY,Richard,80.85
CARO,Angelo,80.1
MOTA,Filipe,79.19
