Athlete,Country,Date,Event,Rank,Points
Kokona Hiraki,Japan,2024-06-23,OQS Budapest 2024,3,142800
Kokona Hiraki,Japan,2024-05-19,OQS Shanghai 2024,2,168000
Kokona Hiraki,Japan,2024-03-03,World Skateboarding Tour - Park Dubai,2,40000
Kokona Hiraki,Japan,2023-10-08,WST Park World Championship 2023 Rome Ostia,1,80000
Kokona Hiraki,Japan,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,5,24565
Kokona Hiraki,Japan,2023-02-12,Park World Championships Sharjah 2022,2,64000
Hinano Kusaki,Japan,2024-06-23,OQS Budapest 2024,5,102901
Hinano Kusaki,Japan,2024-05-19,OQS Shanghai 2024,9,57755
Hinano Kusaki,Japan,2024-03-03,World Skateboarding Tour - Park Dubai,16,3869
Hinano Kusaki,Japan,2023-10-08,WST Park World Championship 2023 Rome Ostia,2,64000
Hinano Kusaki,Japan,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,4,28900
Hinano Kusaki,Japan,2023-02-12,Park World Championships Sharjah 2022,4,43520
Sky Brown,United Kingdom,2024-06-23,OQS Budapest 2024,2,168000
Sky Brown,United Kingdom,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,1,50000
Sky Brown,United Kingdom,2023-02-12,Park World Championships Sharjah 2022,1,80000
Naia Laso,Spain,2024-06-23,OQS Budapest 2024,43,3091
Naia Laso,Spain,2024-05-19,OQS Shanghai 2024,42,3139
Naia Laso,Spain,2024-03-03,World Skateboarding Tour - Park Dubai,1,50000
Naia Laso,Spain,2023-10-08,WST Park World Championship 2023 Rome Ostia,5,39168
Naia Laso,Spain,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,12,7412
Naia Laso,Spain,2023-02-12,Park World Championships Sharjah 2022,13,14987
Sakura Yosozumi,Japan,2024-06-23,OQS Budapest 2024,9,57755
Sakura Yosozumi,Japan,2024-05-19,OQS Shanghai 2024,3,142800
Sakura Yosozumi,Japan,2024-03-03,World Skateboarding Tour - Park Dubai,6,20880
Sakura Yosozumi,Japan,2023-10-08,WST Park World Championship 2023 Rome Ostia,8,28553
Sakura Yosozumi,Japan,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,30,724
Sakura Yosozumi,Japan,2023-02-12,Park World Championships Sharjah 2022,3,54400
Minna Stess,United States,2024-06-23,OQS Budapest 2024,13,36274
Minna Stess,United States,2024-05-19,OQS Shanghai 2024,16,25721
Minna Stess,United States,2024-03-03,World Skateboarding Tour - Park Dubai,10,10258
Minna Stess,United States,2023-10-08,WST Park World Championship 2023 Rome Ostia,3,54400
Minna Stess,United States,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,19,2194
Minna Stess,United States,2023-02-12,Park World Championships Sharjah 2022,7,31726
Raicca Ventura,Brazil,2024-06-23,OQS Budapest 2024,6,91382
Raicca Ventura,Brazil,2024-05-19,OQS Shanghai 2024,10,51374
Raicca Ventura,Brazil,2023-10-08,WST Park World Championship 2023 Rome Ostia,4,43520
Raicca Ventura,Brazil,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,3,34000
Raicca Ventura,Brazil,2023-02-12,Park World Championships Sharjah 2022,11,18503
Ruby Trew,Australia,2024-06-23,OQS Budapest 2024,15,28832
Ruby Trew,Australia,2024-05-19,OQS Shanghai 2024,8,72192
Ruby Trew,Australia,2024-03-03,World Skateboarding Tour - Park Dubai,5,24565
Ruby Trew,Australia,2023-10-08,WST Park World Championship 2023 Rome Ostia,14,13488
Ruby Trew,Australia,2023-05-28,World Skateboarding Tour Stop San Juan Park 2023,2,40000
Ruby Trew,Australia,2023-02-12,Park World Championships Sharjah 2022,10,20558
Bryce Wettstein,United States,2024-06-23,OQS Budapest 2024,10,51374
Bryce Wettstein,United States,2024-05-19,OQS Shanghai 2024,7,81200
Bryce Wettstein,United States,2024-03-03,World Skateboarding Tour - Park Dubai,7,17748
Bryce Wettstein,United States,2023-10-08,WST Park World Championship 2023 Rome Ostia,9,22843
