Athlete,Country,Date,Event,Rank,Points
Momiji Nishiya,Japan,2024-06-23,OQS Budapest 2024,15,33384
Momiji Nishiya,Japan,2024-05-19,OQS Shanghai 2024,9,69824
Momiji Nishiya,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,10,10258
Momiji Nishiya,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,3,54400
Momiji Nishiya,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,1,50000
Momiji Nishiya,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,8,15086
Momiji Nishiya,Japan,2023-02-05,Street World Championships Sharjah 2022,3,54400
Momiji Nishiya,Japan,2022-07-03,World Street Skateboarding Rome 2022,2,40000
Rayssa Leal,Brazil,2024-05-19,OQS Shanghai 2024,1,260000
Rayssa Leal,Brazil,2024-03-10,World Skateboarding Tour - Street Dubai,8,15086
Rayssa Leal,Brazil,2023-12-17,WST Street World Championship 2023 Tokyo,2,64000
Rayssa Leal,Brazil,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,7,17748
Rayssa Leal,Brazil,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,4,28900
Rayssa Leal,Brazil,2023-02-05,Street World Championships Sharjah 2022,1,80000
Rayssa Leal,Brazil,2022-07-03,World Street Skateboarding Rome 2022,5,24565
Yumeka Oda,Japan,2024-06-23,OQS Budapest 2024,2,208000
Yumeka Oda,Japan,2024-05-19,OQS Shanghai 2024,18,21590
Yumeka Oda,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,9,12069
Yumeka Oda,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,1,80000
Yumeka Oda,Japan,2023-09-16,World Skateboarding Tour - Street Lausanne 2023,2,40000
Yumeka Oda,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,3,34000
Yumeka Oda,Japan,2023-02-05,Street World Championships Sharjah 2022,9,22843
Yumeka Oda,Japan,2022-07-03,World Street Skateboarding Rome 2022,3,34000
Chloe Covell,Australia,2024-06-23,OQS Budapest 2024,5,127466
Chloe Covell,Australia,2024-05-19,OQS Shanghai 2024,8,87278
Chloe Covell,Australia,2024-03-10,World Skateboarding Tour - Street Dubai,2,40000
Chloe Covell,Australia,2023-12-17,WST Street World Championship 2023 Tokyo,4,43520
Chloe Covell,Australia,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,2,40000
Chloe Covell,Australia,2023-02-05,Street World Championships Sharjah 2022,2,64000
Chloe Covell,Australia,2022-07-03,World Street Skateboarding Rome 2022,7,17748
Liz Akama,Japan,2024-06-23,OQS Budapest 2024,4,144840
Liz Akama,Japan,2024-05-19,OQS Shanghai 2024,2,208000
Liz Akama,Japan,2024-03-10,World Skateboarding Tour - Street Dubai,1,50000
Liz Akama,Japan,2023-12-17,WST Street World Championship 2023 Tokyo,6,35251
Liz Akama,Japan,2023-06-25,World Skateboarding Tour Stop Rome Street 2023,1,50000
Liz Akama,Japan,2023-02-05,Street World Championships Sharjah 2022,4,43520
Liz Akama,Japan,2022-07-03,World Street Skateboarding Rome 2022,4,28900
