Rank,Name,Total Points,Year,Quiksilver Pro Gold Coast,Rip Curl Pro Bells Beach,Santa Catarina Pro,Billabong Pro J-Bay,Billabong Pro Teahupoo,Hurley Pro Trestles,Quiksilver Pro France,Rip Curl Pro Portugal,Rip Curl Search,Billabong Pipe Masters,Billabong Rio Pro,Quiksilver Pro New York,Volcom Fiji Pro,O'Neill Coldwater Classic Santa Cruz,Oakley Pro Bali,Drug Aware Margaret River Pro,Fiji Pro,J-Bay Open,Billabong Pro Tahiti,Hurley Pro at Trestles,Moche Rip Curl Pro Portugal,Oi Rio Pro,MEO Rip Curl Pro Portugal,Outerknown Fiji Pro,Corona Open J-Bay,Corona Bali Protected,Uluwatu CT\/ Margaret River Pro,Tahiti Pro Teahupo'o,Surf Ranch Pro,Margaret River Pro,Freshwater Pro,Billabong Pipe Masters presented by Hydro Flask,Rip Curl Newcastle Cup presented by Corona,Rip Curl Narrabeen Classic presented by Corona,Boost Mobile Margaret River Pro presented by Corona,Rip Curl Rottnest Search presented by Corona,Jeep Surf Ranch Pro presented by Adobe,Corona Open Mexico presented by Quiksilver,Billabong Pro Pipeline,Hurley Pro Sunset Beach,MEO Pro Portugal,Quiksilver Pro G-Land,Surf City El Salvador Pro,Outerknown Tahiti Pro,MEO Rip Curl Portugal Pro,Surf City El Salvador Pro ,VIVO Rio Pro,SHISEIDO Tahiti Pro,Lexus Pipe Pro presented by YETI,MEO Rip Curl Pro Portugal presented by Corona,Rip Curl Pro Bells Beach presented by Bonsoy,Western Australia Margaret River Pro ,SHISEIDO Tahiti Pro presented by Outerknown,Surf City El Salvador Pro presented by Corona,VIVO Rio Pro presented by Corona,Corona Fiji Pro
2,Jordy Smith,"52,250",2010,"8,000","5,250","5,250","10,000","1,750","5,250","5,250","8,000","5,250","5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,John John Florence,"44,350",2012,"1,750","4,000",,,"6,500","5,200","6,500","5,200",,"1,750","10,000",,"5,200",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gabriel Medina,"41,350",2012,500,"1,750",,,"5,200","4,000","5,200","8,000",,"4,000",500,,"8,000","5,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Filipe Toledo,"24,400",2013,"1,750","5,200",,,500,"1,750","6,500","1,750",,500,"5,200",,500,,"1,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Kanoa Igarashi,"24,250",2016,"4,000","1,750",,,,,"1,750",,,"8,000",,,,,,"1,750","1,750","1,750","1,750","1,750",,"1,750","1,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Joan Duru,"23,400",2017,500,"1,750",,,,,"4,000",,,500,,,,,,500,,,"5,200","1,750",,500,500,"5,200","4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Leonardo Fioravanti,"18,700",2017,500,500,,,,,"1,750",,,"4,000",,,,,,500,,,500,500,,500,"4,000","5,200","1,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ethan Ewing,"10,750",2017,500,500,,,,,"1,750",,,"1,750",,,,,,500,,,"1,750","1,750",,500,"1,750",500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Griffin Colapinto,"23,275",2018,"6,085","1,665",,,,,"1,665",,,"1,665",,,,,,,,,,,,"1,665",420,,"3,700","4,745",420,420,"1,665",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Matthew McGillivray,0,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jack Robinson,0,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lucca Mesinas,"8,735",2022,,"1,330",,,,,,,,,,,,,,,,,,,,-,,,-,,,,,"1,330",,,,,,,,,"4,745","1,330","1,330",-,-,-,,,,,,,,,,,,
21,Rio Waida,"22,280",2023,,265,,,,,,,,,,,,,,,,,,,,,,,"3,320",,,,"1,330",265,,,,,,,,,"3,320","1,330",,,,,"4,745","3,320","1,330","3,320",,,,,,,,
34,Ramzi Boukhiam,"1,060",2023,,265,,,,,,,,,,,,,,,,,,,,,,,-,,,,-,265,,,,,,,,,265,265,,,,,265,-,-,-,,,,,,,,
