Heat,Name,Year,Average Points per Events
HEAT1,Yolanda Hopkins,2023/2024,1112.6
HEAT1,Yolanda Hopkins,2022/2023,1530.0
HEAT1,Yolanda Hopkins,2021/2022,640.0
HEAT1,Yolanda Hopkins,2021,1475.0
HEAT1,Yolanda Hopkins,2020,830.0
HEAT1,Yolanda Hopkins,2019,243.46153846153845
HEAT1,Yolanda Hopkins,2018,253.75
HEAT1,Yolanda Hopkins,2017,296.6666666666667
HEAT1,Yolanda Hopkins,2016,310.0
HEAT1,Caroline Marks,2024,3963.5714285714284
HEAT1,Caroline Marks,2023,5442.727272727273
HEAT1,Caroline Marks,2022,5422.0
HEAT1,Caroline Marks,2021,3721.4285714285716
HEAT1,Caroline Marks,2019,5554.5
HEAT1,Caroline Marks,2018,3700.0
HEAT1,Caroline Marks,2017,1750.0
HEAT1,Caroline Marks,2015,1750.0
HEAT1,Sarah Baum,2024,1800.0
HEAT1,Sarah Baum,2023,2688.3333333333335
HEAT1,Sarah Baum,2022,2304.285714285714
HEAT1,Sarah Baum,2021,2525.0
HEAT2,Sol Aguirre,2024/2025,3400.0
HEAT2,Sol Aguirre,2023/2024,957.6666666666666
HEAT2,Sol Aguirre,2022/2023,2466.6666666666665
HEAT2,Sol Aguirre,2021/2022,157.14285714285714
HEAT2,Sol Aguirre,2021,1062.5
HEAT2,Sol Aguirre,2020,1275.0
HEAT2,Sol Aguirre,2019,345.8333333333333
HEAT2,Sol Aguirre,2018,217.14285714285714
HEAT2,Sol Aguirre,2017,293.3333333333333
HEAT2,Janire Etxabarri,2023/2024,1120.0
HEAT2,Janire Etxabarri,2022/2023,515.2
HEAT2,Janire Etxabarri,2021/2022,460.0
HEAT2,Janire Etxabarri,2021,416.5
HEAT2,Janire Etxabarri,2020,169.0
HEAT2,Janire Etxabarri,2019,342.5
HEAT2,Janire Etxabarri,2018,300.0
HEAT2,Vahine Fierro,2024,4032.5
HEAT2,Vahine Fierro,2023,2960.8333333333335
HEAT2,Vahine Fierro,2022,2304.285714285714
HEAT2,Vahine Fierro,2021,3475.0
HEAT3,Anat Leilor,2023/2024,580.75
HEAT3,Anat Leilor,2022/2023,1825.0
HEAT3,Anat Leilor,2021/2022,600.0
HEAT3,Anat Leilor,2021,2075.0
HEAT3,Anat Leilor,2020,541.0
HEAT3,Anat Leilor,2019,443.6363636363636
HEAT3,Anat Leilor,2018,450.0
HEAT3,Anat Leilor,2017,325.0
HEAT3,Anat Leilor,2016,360.0
HEAT3,Anat Leilor,2014,125.0
HEAT3,Sanoa Dempfle-Olin,2024/2025,1825.0
HEAT3,Sanoa Dempfle-Olin,2023/2024,638.7
HEAT3,Sanoa Dempfle-Olin,2022/2023,837.0
HEAT3,Sanoa Dempfle-Olin,2020,255.0
HEAT3,Tyler Wright,2024,3407.1428571428573
HEAT3,Tyler Wright,2023,5642.272727272727
HEAT3,Tyler Wright,2022,4883.75
HEAT3,Tyler Wright,2021,4341.666666666667
HEAT3,Tyler Wright,2019,15115.0
HEAT3,Tyler Wright,2018,5794.0
HEAT3,Tyler Wright,2017,5440.0
HEAT3,Tyler Wright,2016,7250.0
HEAT3,Tyler Wright,2015,4710.0
HEAT3,Tyler Wright,2014,6220.0
HEAT3,Tyler Wright,2013,6962.5
HEAT3,Tyler Wright,2012,5242.857142857143
HEAT3,Tyler Wright,2011,4945.714285714285
HEAT4,Tatiana Weston-Webb,2024,3467.1428571428573
